ID,species,year,month,sex,SL,mass,alleles,genotype,Gen_freq_all,Gen_freq_species,avg_freq_species,avg_freq_all,freq_rare_species,freq_rare_all,phenotype,num_supertype,supertype,freq_super_species,freq_super_all,gill,acantho,,,
GSF2450-H5-EFCC4_3102019,fantail,2019,March,F,53,2.15,2,025/028,0.003,0.009,,,,,,1,1,,,20,2,,,
GSF2450-D6-EFCC20_3102019,fantail,2019,March,M,35.3,0.56,2,026/050,0.006,0.018,,,,,,2,1/4,,,0,3,,,
GSF2450-E6-EFCC2_3102019,fantail,2019,March,M,40.04,1.25,3,025/050/106,0.003,0.009,,,,,,1,1,,,0,1,,,
GSF2450-F6-EFCC8_3102019,fantail,2019,March,F,43.28,1.57,1,028,0.032,0.083,,,,,,1,1,,,0,0,,,
GSF2450-G7-EFCC9_3102019,fantail,2019,March,M,41.46,0.9,1,026,0.019,0.055,,,,,,1,4,,,0,0,,,
GSF2450-A9-EFCC1_3162020,fantail,2020,March,F,36.67,0.93,1,108,0.009,0.028,,,,,,1,1,,,3,1,,,
GSF2450-B9-EFCC2_3162020,fantail,2020,March,F,37.15,0.68,1,063,0.006,0.018,,,,,,1,1,,,3,0,,,
GSF2450-E9-EFCC5_3162020,fantail,2020,March,F,38.03,0.83,2,026/106,0.013,0.037,,,,,,2,1/4,,,0,1,,,
GSF2450-F9-EFCC6_3162020,fantail,2020,March,F,37.92,0.87,2,026/106,0.013,0.037,,,,,,2,1/4,,,1,0,,,
GSF2450-G9-EFCC7_3162020,fantail,2020,March,F,43.45,1.23,2,028/107,0.003,0.009,,,,,,1,1,,,0,0,,,
GSF2450-H9-EFCC8_3162020,fantail,2020,March,F,39.74,0.99,1,026,0.019,0.055,,,,,,1,4,,,0,0,,,
GSF2450-A10-EFCC9_3162020,fantail,2020,March,F,37.95,1.05,2,107/108,0.003,0.009,,,,,,1,1,,,0,3,,,
GSF2450-E12-EFCC1_4212019,fantail,2019,March,M,60.8,3.21,2,026/106,0.013,0.037,,,,,,2,1/4,,,6,4,,,
GSF2679-F3-EFCC1_08022020,fantail,2020,August,M,47.0,1.31,4,009/026/030/123,0.003,0.009,,,,,,3,1/3/4,,,0,0,,,
GSF2679-G3-EFCC2_08022020,fantail,2020,August,F,42.9,0.89,1,024,0.019,0.055,,,,,,1,1,,,13,0,,,
GSF2679-H3-EFCC3_08022020,fantail,2020,August,M,42.8,0.97,2,024/031,0.003,0.009,,,,,,1,1,,,2,0,,,
GSF2679-A4-EFCC4_08022020,fantail,2020,August,M,45.0,1.16,5,013/018/026/059/078,0.003,0.009,,,,,,3,1/3/4,,,1,0,,,
GSF2679-B4-EFCC5_08022020,fantail,2020,August,M,39.9,0.88,2,025/050,0.003,0.009,,,,,,1,1,,,0,0,,,
GSF2679-C4-EFCC6_08022020,fantail,2020,August,M,42.5,0.89,2,004/124,0.003,0.009,,,,,,2,2/3,,,11,0,,,
GSF2679-D4-EFCC7_08022020,fantail,2020,August,F,38.9,0.78,5,023/050/100/121/124,0.003,0.009,,,,,,2,1/3,,,0,0,,,
GSF2679-E4-EFCC8_08022020,fantail,2020,August,F,39.3,0.84,2,030/124,0.003,0.009,,,,,,2,1/3,,,0,0,,,
GSF2679-F4-EFCC9_08022020,fantail,2020,August,M,40.1,0.83,2,024/026,0.003,0.009,,,,,,2,1/4,,,4,0,,,
